ID,Name,Age,Country,Salary,Status
82,Person_82,33,USA,62599.01,Unemployed
83,Person_83,62,Australia,63658.59,Employed
84,Person_84,35,UK,94291.83,Self-Employed
85,Person_85,64,India,71094.78,Self-Employed
86,Person_86,41,Australia,32299.27,Employed
87,Person_87,43,India,93892.46,Unemployed
88,Person_88,42,USA,47375.85,Unemployed
89,Person_89,62,India,70434.24,Unemployed
90,Person_90,58,India,41585.93,Unemployed
91,Person_91,46,Canada,32371.54,Self-Employed
92,Person_92,32,Canada,51803.12,Self-Employed
93,Person_93,62,Canada,84634.7,Self-Employed
94,Person_94,18,India,49431.1,Self-Employed
95,Person_95,42,UK,45406.8,Self-Employed
96,Person_96,24,India,44887.65,Unemployed
97,Person_97,26,UK,66062.16,Unemployed
98,Person_98,41,UK,98287.89,Unemployed
99,Person_99,18,Canada,62129.23,Unemployed
100,Person_100,61,Australia,69011.38,Self-Employed
101,Person_101,25,USA,90244.24,Self-Employed
102,Person_102,41,Canada,67454.88,Self-Employed
103,Person_103,28,Canada,42912.4,Employed
104,Person_104,34,Australia,50971.71,Unemployed
105,Person_105,25,USA,51695.58,Unemployed
106,Person_106,52,India,57812.27,Self-Employed
107,Person_107,52,India,59875.22,Unemployed
108,Person_108,50,Canada,85984.74,Unemployed
109,Person_109,22,USA,54457.09,Self-Employed
110,Person_110,59,Canada,62776.23,Employed
111,Person_111,56,UK,73748.32,Employed
112,Person_112,58,Canada,56440.82,Employed
113,Person_113,45,Canada,88559.54,Self-Employed
114,Person_114,24,India,71121.75,Unemployed
115,Person_115,26,India,50583.13,Self-Employed
116,Person_116,25,India,79984.14,Self-Employed
117,Person_117,29,UK,66935.34,Unemployed
118,Person_118,51,India,67411.91,Employed
119,Person_119,50,USA,63676.16,Employed
120,Person_120,40,Australia,64790.84,Self-Employed
121,Person_121,41,USA,83574.94,Employed
122,Person_122,54,USA,37208.7,Self-Employed
123,Person_123,52,India,53405.4,Self-Employed
124,Person_124,61,Australia,35285.24,Unemployed
125,Person_125,57,Australia,82727.24,Unemployed
126,Person_126,39,Australia,49061.13,Unemployed
127,Person_127,44,UK,92820.13,Self-Employed
128,Person_128,52,India,66860.49,Unemployed
129,Person_129,18,Australia,86052.48,Employed
130,Person_130,52,UK,98525.2,Employed
131,Person_131,54,Canada,88785.22,Self-Employed
132,Person_132,64,Canada,90689.56,Self-Employed
133,Person_133,31,UK,58558.91,Unemployed
134,Person_134,20,UK,68620.58,Self-Employed
135,Person_135,18,India,47772.2,Self-Employed
136,Person_136,22,India,43727.92,Employed
137,Person_137,43,Canada,65385.55,Employed
138,Person_138,31,Australia,71653.43,Unemployed
139,Person_139,56,Canada,53748.99,Self-Employed
140,Person_140,44,Australia,69861.05,Self-Employed
141,Person_141,26,Australia,92122.23,Employed
142,Person_142,32,India,68970.51,Self-Employed
143,Person_143,32,USA,80456.92,Employed
144,Person_144,43,USA,86372.05,Unemployed
145,Person_145,59,UK,99211.01,Employed
146,Person_146,30,India,72223.82,Self-Employed
147,Person_147,49,Australia,86479.51,Unemployed
148,Person_148,56,USA,97385.45,Employed
149,Person_149,49,Australia,96108.68,Employed
150,Person_150,21,USA,39875.73,Unemployed
151,Person_151,47,USA,58447.46,Unemployed
152,Person_152,54,USA,52679.3,Employed
153,Person_153,40,India,36084.75,Self-Employed
154,Person_154,56,Canada,74326.85,Employed
155,Person_155,62,Australia,81513.32,Unemployed
156,Person_156,32,India,89368.97,Employed
157,Person_157,60,India,38594.38,Unemployed
158,Person_158,46,India,91351.09,Unemployed
159,Person_159,53,India,75004.79,Self-Employed
160,Person_160,30,India,79276.23,Unemployed
161,Person_161,49,UK,93743.68,Unemployed
162,Person_162,24,Australia,73733.29,Self-Employed
163,Person_163,39,India,53510.61,Unemployed
164,Person_164,45,Australia,87757.51,Self-Employed
165,Person_165,19,UK,55414.14,Self-Employed
166,Person_166,59,UK,32395.97,Unemployed
167,Person_167,62,Australia,88145.82,Unemployed
168,Person_168,23,USA,54163.45,Employed
169,Person_169,45,Canada,84168.42,Self-Employed
170,Person_170,45,USA,55393.05,Employed
171,Person_171,61,USA,90274.76,Unemployed
172,Person_172,61,USA,45365.74,Employed
173,Person_173,37,India,98218.31,Self-Employed
174,Person_174,47,UK,84583.11,Employed
175,Person_175,28,USA,37996.65,Self-Employed
176,Person_176,45,UK,69604.36,Unemployed
177,Person_177,42,Australia,98975.71,Unemployed
178,Person_178,56,Canada,62974.58,Self-Employed
179,Person_179,50,Australia,42747.5,Unemployed
180,Person_180,18,Australia,63934.49,Unemployed
181,Person_181,44,India,65872.04,Unemployed
182,Person_182,30,Canada,81918.09,Unemployed
183,Person_183,58,Australia,78919.21,Self-Employed
184,Person_184,20,Australia,58178.5,Employed
185,Person_185,56,Canada,45261.62,Employed
186,Person_186,23,Canada,75153.79,Unemployed
187,Person_187,25,Australia,59519.28,Employed
188,Person_188,44,Canada,39259.33,Employed
189,Person_189,26,Australia,93040.06,Unemployed
190,Person_190,54,Australia,78385.53,Unemployed
191,Person_191,50,India,77822.87,Employed
192,Person_192,59,USA,87580.87,Self-Employed
193,Person_193,61,Australia,67076.32,Unemployed
194,Person_194,41,UK,87053.81,Self-Employed
195,Person_195,32,USA,64866.35,Employed
196,Person_196,49,USA,34702.28,Unemployed
197,Person_197,49,USA,58367.37,Self-Employed
198,Person_198,41,India,64822.54,Unemployed
199,Person_199,58,Australia,80414.18,Employed
200,Person_200,29,India,37460.51,Self-Employed
201,Person_201,56,Australia,39801.3,Employed
202,Person_202,19,India,48457.87,Employed
203,Person_203,20,India,48654.89,Unemployed
204,Person_204,54,UK,81252.92,Self-Employed
205,Person_205,34,India,47551.15,Employed
206,Person_206,19,Canada,74316.86,Employed
207,Person_207,19,UK,64599.17,Self-Employed
208,Person_208,45,India,70130.61,Employed
209,Person_209,40,USA,88667.49,Employed
210,Person_210,54,Canada,58306.71,Self-Employed
211,Person_211,49,Canada,83963.8,Self-Employed
212,Person_212,50,Canada,59542.52,Self-Employed
213,Person_213,18,UK,54771.0,Self-Employed
214,Person_214,36,India,97103.9,Unemployed
215,Person_215,19,India,42905.96,Self-Employed
216,Person_216,61,USA,36323.59,Unemployed
217,Person_217,43,USA,83969.01,Unemployed
218,Person_218,49,Canada,34777.48,Unemployed
219,Person_219,23,USA,88595.53,Employed
220,Person_220,49,UK,60603.54,Unemployed
221,Person_221,21,India,94085.96,Unemployed
222,Person_222,28,Canada,80507.3,Employed
223,Person_223,34,USA,72728.33,Employed
224,Person_224,55,UK,96451.48,Employed
225,Person_225,41,UK,57765.46,Self-Employed
226,Person_226,22,USA,96786.09,Employed
227,Person_227,51,India,39450.09,Employed
228,Person_228,23,USA,63862.85,Unemployed
229,Person_229,39,Canada,48893.79,Employed
230,Person_230,28,USA,67788.99,Self-Employed
231,Person_231,33,UK,41340.97,Employed
232,Person_232,50,USA,88907.08,Self-Employed
233,Person_233,26,India,89248.55,Employed
234,Person_234,23,Australia,96866.54,Employed
235,Person_235,33,USA,40827.05,Employed
236,Person_236,46,India,73633.28,Employed
237,Person_237,20,India,63196.61,Self-Employed
238,Person_238,37,UK,54106.86,Self-Employed
239,Person_239,53,India,54607.81,Unemployed
240,Person_240,36,India,58895.55,Self-Employed
241,Person_241,43,India,79344.79,Employed
242,Person_242,20,India,71880.02,Unemployed
243,Person_243,36,Canada,62177.71,Unemployed
244,Person_244,37,Canada,35315.34,Unemployed
245,Person_245,49,UK,35443.57,Employed
246,Person_246,24,USA,30163.76,Self-Employed
247,Person_247,58,India,97738.96,Employed
248,Person_248,50,USA,30367.77,Unemployed
249,Person_249,57,USA,37216.56,Employed
250,Person_250,56,UK,52021.76,Employed
251,Person_251,35,India,86520.12,Self-Employed
252,Person_252,57,India,97346.92,Self-Employed
253,Person_253,18,Australia,85300.95,Unemployed
254,Person_254,28,USA,78339.22,Employed
255,Person_255,45,USA,66491.05,Employed
256,Person_256,42,Canada,36069.36,Self-Employed
257,Person_257,40,Australia,97071.96,Employed
258,Person_258,48,Canada,83087.47,Employed
259,Person_259,47,Canada,74726.46,Employed
260,Person_260,59,Canada,83132.51,Self-Employed
261,Person_261,52,UK,80687.23,Unemployed
262,Person_262,24,UK,74606.21,Unemployed
263,Person_263,33,Canada,98640.38,Employed
264,Person_264,43,Australia,93235.47,Unemployed
265,Person_265,19,USA,75266.54,Self-Employed
266,Person_266,18,Australia,78522.26,Self-Employed
267,Person_267,29,India,33611.71,Unemployed
268,Person_268,22,UK,76894.22,Unemployed
269,Person_269,54,USA,33091.58,Employed
270,Person_270,49,USA,71178.46,Unemployed
271,Person_271,26,India,99954.74,Employed
272,Person_272,58,India,68906.46,Employed
273,Person_273,52,Canada,63124.71,Self-Employed
274,Person_274,36,UK,51899.84,Self-Employed
275,Person_275,33,UK,38436.58,Self-Employed
276,Person_276,20,Australia,81171.66,Self-Employed
277,Person_277,37,Canada,43481.93,Unemployed
278,Person_278,41,Canada,38069.74,Self-Employed
279,Person_279,50,Canada,59523.39,Unemployed
280,Person_280,41,Canada,85673.93,Self-Employed
281,Person_281,28,UK,82154.52,Unemployed
282,Person_282,25,UK,33841.78,Employed
283,Person_283,53,Canada,61860.06,Unemployed
284,Person_284,55,Australia,66570.42,Unemployed
285,Person_285,57,USA,75118.27,Self-Employed
286,Person_286,37,USA,75511.71,Unemployed
287,Person_287,52,Australia,55528.81,Employed
288,Person_288,42,Canada,69247.4,Employed
289,Person_289,52,UK,63674.33,Self-Employed
290,Person_290,42,USA,91949.88,Employed
291,Person_291,46,India,67118.56,Unemployed
292,Person_292,35,India,60872.25,Employed
293,Person_293,63,Australia,58313.98,Self-Employed
294,Person_294,35,Canada,70069.94,Unemployed
295,Person_295,19,USA,86278.39,Self-Employed
296,Person_296,52,Canada,67688.1,Unemployed
297,Person_297,33,USA,76315.86,Employed
298,Person_298,58,Australia,81649.9,Self-Employed
299,Person_299,53,Australia,66411.77,Self-Employed
300,Person_300,50,India,59877.19,Unemployed
301,Person_301,21,Canada,91366.58,Self-Employed
302,Person_302,50,India,59225.43,Unemployed
303,Person_303,31,Canada,62336.0,Unemployed
304,Person_304,38,India,99323.89,Unemployed
305,Person_305,37,UK,30016.63,Unemployed
306,Person_306,25,UK,42983.1,Employed
307,Person_307,24,UK,56877.47,Unemployed
308,Person_308,20,UK,95281.29,Self-Employed
309,Person_309,34,USA,34902.08,Employed
310,Person_310,50,UK,30663.98,Self-Employed
311,Person_311,29,Australia,33687.87,Employed
312,Person_312,39,Australia,36198.04,Unemployed
313,Person_313,39,USA,32631.77,Employed
314,Person_314,63,UK,63584.69,Employed
315,Person_315,47,UK,70653.0,Self-Employed
316,Person_316,55,UK,49018.09,Self-Employed
317,Person_317,55,India,57880.12,Unemployed
318,Person_318,62,Canada,36418.95,Employed
319,Person_319,25,India,53545.93,Employed
320,Person_320,44,Canada,66576.34,Employed
321,Person_321,44,UK,81259.03,Unemployed
322,Person_322,51,UK,30234.25,Unemployed
323,Person_323,38,India,62711.75,Unemployed
324,Person_324,47,India,50790.2,Unemployed
325,Person_325,50,Canada,89697.53,Unemployed
326,Person_326,45,Australia,80088.73,Self-Employed
327,Person_327,64,Canada,71237.6,Employed
328,Person_328,50,India,49408.6,Employed
329,Person_329,22,India,93723.74,Employed
330,Person_330,36,USA,33157.05,Employed
331,Person_331,21,India,37662.73,Employed
332,Person_332,52,USA,57414.11,Employed
333,Person_333,34,Australia,38710.63,Employed
334,Person_334,61,Canada,96949.1,Employed
335,Person_335,45,Canada,85859.25,Self-Employed
336,Person_336,47,USA,48128.79,Employed
337,Person_337,46,Canada,71198.8,Self-Employed
338,Person_338,63,India,98763.14,Unemployed
339,Person_339,23,UK,91893.93,Employed
340,Person_340,52,USA,72055.89,Unemployed
341,Person_341,58,Canada,93260.68,Unemployed
342,Person_342,54,USA,99242.94,Unemployed
343,Person_343,41,USA,82034.7,Self-Employed
344,Person_344,46,UK,34549.05,Unemployed
345,Person_345,63,India,58110.62,Unemployed
346,Person_346,48,USA,88647.8,Unemployed
347,Person_347,52,Canada,46139.84,Employed
348,Person_348,50,Australia,88144.98,Employed
349,Person_349,38,USA,38423.71,Self-Employed
350,Person_350,49,USA,33286.18,Self-Employed
351,Person_351,40,UK,56886.34,Employed
352,Person_352,50,India,32571.24,Self-Employed
353,Person_353,20,Australia,97008.92,Employed
354,Person_354,35,Canada,87834.4,Unemployed
355,Person_355,42,Australia,86053.88,Unemployed
356,Person_356,59,Canada,74084.45,Self-Employed
357,Person_357,48,India,45142.68,Employed
358,Person_358,20,Canada,66278.23,Employed
359,Person_359,57,UK,71809.19,Self-Employed
360,Person_360,63,UK,66752.21,Employed
361,Person_361,41,UK,48216.34,Unemployed
362,Person_362,49,UK,66067.35,Self-Employed
363,Person_363,64,Australia,64383.04,Self-Employed
364,Person_364,39,India,99743.5,Employed
365,Person_365,40,Canada,92820.53,Self-Employed
366,Person_366,19,Canada,62436.65,Employed
367,Person_367,44,UK,73605.62,Employed
368,Person_368,59,UK,82351.01,Employed
369,Person_369,19,USA,32440.56,Employed
370,Person_370,43,India,92644.5,Employed
371,Person_371,34,Australia,90208.88,Self-Employed
372,Person_372,57,Canada,62020.25,Unemployed
373,Person_373,50,USA,57381.88,Unemployed
374,Person_374,26,USA,49107.16,Self-Employed
375,Person_375,60,Canada,63367.38,Self-Employed
376,Person_376,56,Australia,33106.37,Unemployed
377,Person_377,46,USA,89653.55,Unemployed
378,Person_378,59,USA,32479.57,Unemployed
379,Person_379,43,India,53033.6,Unemployed
380,Person_380,52,Australia,95211.26,Unemployed
381,Person_381,42,USA,81464.89,Employed
382,Person_382,41,Australia,49697.37,Self-Employed
383,Person_383,30,Canada,47685.44,Employed
384,Person_384,24,UK,30355.75,Unemployed
385,Person_385,53,USA,78700.0,Unemployed
386,Person_386,62,India,33414.85,Unemployed
387,Person_387,37,Canada,67282.18,Employed
388,Person_388,18,Australia,97348.54,Employed
389,Person_389,25,Canada,37662.82,Unemployed
390,Person_390,63,USA,92613.6,Employed
391,Person_391,33,Australia,99403.27,Employed
392,Person_392,31,UK,34306.19,Unemployed
393,Person_393,29,Canada,91803.44,Employed
394,Person_394,40,USA,66125.53,Self-Employed
395,Person_395,32,India,93455.96,Self-Employed
396,Person_396,45,Australia,69992.33,Self-Employed
397,Person_397,51,Canada,76347.84,Self-Employed
398,Person_398,19,Canada,68064.52,Unemployed
399,Person_399,49,UK,90514.5,Unemployed
400,Person_400,40,UK,81373.69,Unemployed
401,Person_401,39,India,66488.22,Self-Employed
402,Person_402,42,India,90771.26,Self-Employed
403,Person_403,39,USA,47169.99,Employed
404,Person_404,39,USA,41013.85,Employed
405,Person_405,59,India,41228.01,Self-Employed
406,Person_406,23,India,53380.62,Self-Employed
407,Person_407,32,Australia,46708.3,Self-Employed
408,Person_408,60,UK,95106.32,Self-Employed
409,Person_409,54,USA,37408.39,Employed
410,Person_410,50,UK,78929.35,Self-Employed
411,Person_411,25,UK,43245.51,Employed
412,Person_412,61,India,91714.6,Self-Employed
413,Person_413,61,Australia,97292.07,Self-Employed
414,Person_414,22,Canada,62582.9,Self-Employed
415,Person_415,56,Australia,91535.0,Employed
416,Person_416,21,Australia,30360.16,Employed
417,Person_417,23,UK,87396.28,Unemployed
418,Person_418,62,Australia,46003.76,Self-Employed
419,Person_419,49,USA,93609.09,Unemployed
420,Person_420,47,UK,30078.41,Unemployed
421,Person_421,64,USA,68932.72,Employed
422,Person_422,52,Canada,82964.51,Employed
423,Person_423,57,UK,48108.18,Unemployed
424,Person_424,33,Canada,43519.3,Self-Employed
425,Person_425,30,UK,35886.88,Employed
426,Person_426,59,India,52850.35,Self-Employed
427,Person_427,47,Australia,69189.1,Self-Employed
428,Person_428,36,India,38109.07,Unemployed
429,Person_429,34,Canada,56368.68,Unemployed
430,Person_430,36,Australia,30635.07,Unemployed
431,Person_431,45,UK,87307.56,Unemployed
432,Person_432,43,Australia,38991.41,Employed
433,Person_433,54,USA,49834.01,Employed
434,Person_434,43,Australia,31289.94,Unemployed
435,Person_435,40,USA,60256.85,Employed
436,Person_436,26,Australia,88808.51,Unemployed
437,Person_437,29,USA,57450.58,Self-Employed
438,Person_438,18,Canada,42564.81,Self-Employed
439,Person_439,18,India,82758.92,Self-Employed
440,Person_440,64,UK,85216.49,Unemployed
441,Person_441,51,Australia,42162.74,Self-Employed
442,Person_442,49,India,83959.79,Employed
443,Person_443,42,UK,96310.85,Self-Employed
444,Person_444,57,UK,41646.43,Self-Employed
445,Person_445,62,USA,83968.9,Self-Employed
446,Person_446,18,Canada,79600.04,Employed
447,Person_447,33,Canada,63150.17,Unemployed
448,Person_448,56,India,34054.43,Employed
449,Person_449,22,Canada,35228.61,Unemployed
450,Person_450,39,Australia,89669.03,Unemployed
451,Person_451,46,Canada,99310.39,Self-Employed
452,Person_452,20,India,77323.66,Unemployed
453,Person_453,29,Canada,61217.08,Employed
454,Person_454,43,Australia,75330.16,Employed
455,Person_455,33,USA,71607.71,Unemployed
456,Person_456,54,India,56852.86,Self-Employed
457,Person_457,39,USA,34593.83,Self-Employed
458,Person_458,46,USA,87505.91,Employed
459,Person_459,31,USA,56028.35,Self-Employed
460,Person_460,45,UK,87315.0,Unemployed
461,Person_461,22,UK,47675.61,Unemployed
462,Person_462,64,USA,30072.06,Employed
463,Person_463,47,India,41125.68,Unemployed
464,Person_464,63,Australia,62797.76,Employed
465,Person_465,22,Australia,96101.25,Unemployed
466,Person_466,29,Canada,37153.55,Employed
467,Person_467,33,India,89794.68,Self-Employed
468,Person_468,43,UK,66891.69,Unemployed
469,Person_469,43,USA,87814.45,Unemployed
470,Person_470,38,Canada,50886.21,Employed
471,Person_471,56,Australia,88796.3,Employed
472,Person_472,53,UK,84097.59,Unemployed
473,Person_473,50,UK,46103.76,Employed
474,Person_474,47,USA,39193.46,Unemployed
475,Person_475,54,Australia,90763.8,Self-Employed
476,Person_476,40,India,97426.57,Employed
477,Person_477,27,UK,32191.16,Unemployed
478,Person_478,22,USA,81188.9,Self-Employed
479,Person_479,53,India,93666.72,Self-Employed
480,Person_480,51,Australia,90015.21,Unemployed
481,Person_481,48,UK,97516.43,Employed
482,Person_482,27,India,83206.59,Unemployed
483,Person_483,36,India,60960.91,Self-Employed
484,Person_484,49,India,51836.64,Unemployed
485,Person_485,18,UK,52451.99,Employed
486,Person_486,22,UK,80709.59,Self-Employed
487,Person_487,62,Canada,82208.59,Unemployed
488,Person_488,21,Australia,44025.14,Employed
489,Person_489,33,USA,90768.6,Self-Employed
490,Person_490,41,India,80044.68,Employed
491,Person_491,33,Canada,69392.52,Self-Employed
492,Person_492,19,USA,63007.27,Unemployed
493,Person_493,45,Canada,68026.3,Employed
494,Person_494,49,UK,41147.2,Self-Employed
495,Person_495,44,India,44259.09,Employed
496,Person_496,37,USA,36381.51,Employed
497,Person_497,41,USA,40756.06,Unemployed
498,Person_498,29,USA,61758.55,Employed
499,Person_499,52,USA,67124.81,Self-Employed
500,Person_500,50,USA,31250.33,Self-Employed
